,Year,Season,AverageTemperature
431,1876,AUTUMN,4.825
435,1877,AUTUMN,5.2785
439,1878,AUTUMN,5.924
443,1879,AUTUMN,6.2435
447,1880,AUTUMN,3.405
451,1881,AUTUMN,5.4315
455,1882,AUTUMN,5.4635
459,1883,AUTUMN,5.0
463,1884,AUTUMN,5.888
467,1885,AUTUMN,5.6845
471,1886,AUTUMN,5.0255
475,1887,AUTUMN,5.090999999999999
479,1888,AUTUMN,5.320500000000001
483,1889,AUTUMN,5.255999999999999
487,1890,AUTUMN,5.977500000000001
491,1891,AUTUMN,5.3255
495,1892,AUTUMN,5.4555
499,1893,AUTUMN,5.088
503,1894,AUTUMN,5.965
507,1895,AUTUMN,4.898
511,1896,AUTUMN,5.0184999999999995
515,1897,AUTUMN,6.0655
519,1898,AUTUMN,4.496
523,1899,AUTUMN,6.846
527,1900,AUTUMN,6.475
531,1901,AUTUMN,6.3655
535,1902,AUTUMN,6.569
539,1903,AUTUMN,5.3565
543,1904,AUTUMN,6.191
547,1905,AUTUMN,5.9505
551,1906,AUTUMN,5.5895
555,1907,AUTUMN,5.6065
559,1908,AUTUMN,5.625500000000001
563,1909,AUTUMN,6.325
567,1910,AUTUMN,6.3805000000000005
571,1911,AUTUMN,5.1035
575,1912,AUTUMN,6.224
579,1913,AUTUMN,6.346
583,1914,AUTUMN,7.0915
587,1915,AUTUMN,6.5634999999999994
591,1916,AUTUMN,5.5075
595,1917,AUTUMN,5.238
599,1918,AUTUMN,6.0285
603,1919,AUTUMN,5.2625
607,1920,AUTUMN,5.7495
611,1921,AUTUMN,6.8105
615,1922,AUTUMN,6.584
619,1923,AUTUMN,6.344
623,1924,AUTUMN,6.6145
627,1925,AUTUMN,5.2219999999999995
631,1926,AUTUMN,6.7435
635,1927,AUTUMN,6.7505
639,1928,AUTUMN,6.604
643,1929,AUTUMN,5.746
647,1930,AUTUMN,5.323
651,1931,AUTUMN,7.2955000000000005
655,1932,AUTUMN,5.3004999999999995
659,1933,AUTUMN,6.509500000000001
663,1934,AUTUMN,7.766
667,1935,AUTUMN,5.5915
671,1936,AUTUMN,5.9155
675,1937,AUTUMN,6.4745
679,1938,AUTUMN,6.9245
683,1939,AUTUMN,6.099
687,1940,AUTUMN,6.4405
691,1941,AUTUMN,6.691000000000001
695,1942,AUTUMN,6.566
699,1943,AUTUMN,6.4875
703,1944,AUTUMN,6.666
707,1945,AUTUMN,5.9625
711,1946,AUTUMN,6.1355
715,1947,AUTUMN,6.782
719,1948,AUTUMN,5.736000000000001
723,1949,AUTUMN,7.5875
727,1950,AUTUMN,6.8425
731,1951,AUTUMN,5.6695
735,1952,AUTUMN,6.258000000000001
739,1953,AUTUMN,7.271
743,1954,AUTUMN,7.419500000000001
747,1955,AUTUMN,5.1915
751,1956,AUTUMN,5.815499999999999
755,1957,AUTUMN,5.929
759,1958,AUTUMN,6.5455
763,1959,AUTUMN,5.473
767,1960,AUTUMN,6.575
771,1961,AUTUMN,5.696
775,1962,AUTUMN,7.279
779,1963,AUTUMN,7.6045
783,1964,AUTUMN,6.4775
787,1965,AUTUMN,7.0605
791,1966,AUTUMN,6.298500000000001
795,1967,AUTUMN,6.328
799,1968,AUTUMN,6.226
803,1969,AUTUMN,5.668
807,1970,AUTUMN,5.6274999999999995
811,1971,AUTUMN,6.321
815,1972,AUTUMN,5.389
819,1973,AUTUMN,6.785
823,1974,AUTUMN,6.0465
827,1975,AUTUMN,6.1365
831,1976,AUTUMN,4.8655
835,1977,AUTUMN,6.2545
839,1978,AUTUMN,6.458
843,1979,AUTUMN,6.8965
847,1980,AUTUMN,6.384
851,1981,AUTUMN,6.708
855,1982,AUTUMN,5.616
859,1983,AUTUMN,6.8065
863,1984,AUTUMN,5.9435
867,1985,AUTUMN,5.49
871,1986,AUTUMN,6.0975
875,1987,AUTUMN,6.744
879,1988,AUTUMN,6.064500000000001
883,1989,AUTUMN,6.249
887,1990,AUTUMN,6.607
891,1991,AUTUMN,5.816
895,1992,AUTUMN,5.8260000000000005
899,1993,AUTUMN,5.742000000000001
903,1994,AUTUMN,6.136000000000001
907,1995,AUTUMN,6.3214999999999995
911,1996,AUTUMN,5.315500000000002
915,1997,AUTUMN,6.09
919,1998,AUTUMN,7.478
923,1999,AUTUMN,7.579
927,2000,AUTUMN,5.871
931,2001,AUTUMN,7.4095
935,2002,AUTUMN,6.6035
939,2003,AUTUMN,7.4079999999999995
943,2004,AUTUMN,7.4305
947,2005,AUTUMN,7.069500000000001
951,2006,AUTUMN,6.5040000000000004
955,2007,AUTUMN,7.7170000000000005
959,2008,AUTUMN,6.3919999999999995
963,2009,AUTUMN,6.3925
967,2010,AUTUMN,7.257000000000001
971,2011,AUTUMN,6.728
975,2012,AUTUMN,6.509
